,s_start,t_start,z_start,vpar_start,s_end,t_end,z_end,vpar_end,last_time,dt_min,dt_max
0,-0.11692182071749818,0.20122565065918063,1.37476761053845,-10000530.690069936,0.2565020438381557,-1.5704919627816316,-2806.6682959121067,-10079344.073794333,0.003,1.1865854496323035e-09,1.3055788983524322e-07
1,-0.181836348140032,0.2659018435916736,6.187363195604182,4761760.819055895,0.26387577586637584,1.2735927042262574,1607.9975973843593,5212570.847681039,0.003,1.1912739472323231e-09,2.036331109608887e-07
2,0.03105623812796757,0.0077480417601643176,2.804957853304877,11867463.503817925,0.03488501230643194,0.44203808775667414,3256.185962076383,11891264.464206507,0.003,1.3211880639513036e-09,1.5738790387682593e-07
3,0.4286890701159335,0.19484738799980286,2.7320309375030085,-847510.3549436462,1.0024174452263497,1.6267349807866431,3.0283151514817233,-200965.28575826457,4.613430601364535e-05,1.3600608270023754e-09,1.6980509224068147e-07
4,0.46124391272349347,-0.03210755676172291,5.51424871967917,-9275232.144096019,0.3294186966012872,2.6890314875275103,-2528.1403708266735,-9859110.226019317,0.003,1.2943871321242347e-09,1.4761325760516445e-07
5,0.10902817544910148,0.21453531335907805,3.498323217927764,1160304.8193778875,0.05092753516332807,2.9714616536417404,49.44201355749298,2092033.5650467507,0.003,1.4570356335072608e-09,5.524149009686316e-07
6,0.014365971567450299,0.17673017432620391,2.4623524361620084,7150710.7159181135,0.15496734732108297,-0.12688343686726455,1973.2565234800493,7552128.09234615,0.003,1.3042280314766606e-09,1.8319214167244733e-07
7,0.053377254455673755,0.1794814581546595,1.5400373766766202,-623465.7843655862,1.0030500214810032,2.5758104945803737,13.027692971512089,3734040.038616015,0.0008522626809463823,1.353078801815116e-09,3.6684885338237513e-07
8,-0.08712437834837697,0.3409198718006858,5.981680970209953,-822686.411348796,1.0066235009353428,2.207809606861428,6.213632283032135,694840.9609232047,3.213200265354581e-05,1.1842590211628042e-09,1.9452729259805588e-07
9,0.022743404918191462,0.25965682026610687,1.3753985349680784,-5915014.242305643,0.24672973669930526,-1.528234627612074,-1705.9783717765868,-6668043.256443535,0.003,1.2714175335575474e-09,1.7378951909591417e-07
10,-0.07561274908589274,-0.27652887858577424,5.379275072719147,-1544664.8028269245,1.000343401791914,2.5479807218645107,11.428782717005836,4576641.469440728,0.00010831840145184077,1.2820248801977689e-09,2.2970929798078062e-07
11,0.010325701698222611,-0.06121858911548499,1.224652010903393,-8633866.30199546,0.050137073065146136,-2.129126222563991,-2317.0883978716397,-8279769.162348475,0.003,1.360549133630749e-09,1.6206002079873796e-07
12,-0.03166898393309229,-0.10590068025412158,6.248806403328873,4508481.767873447,0.07884673870573533,-1.2266843857634069,1274.8044997161358,5906214.6221104935,0.003,1.2821176275816534e-09,2.622242377505698e-07
13,0.13913382698100624,0.3183978579790466,1.8781151749661475,9743931.241933338,0.4038437262267403,-2.384648703397324,2508.3054205139083,9087327.897463117,0.003,1.492490024721718e-09,1.3502318913519882e-07
14,0.2731533329558126,0.050590757131304606,6.060902433780965,8028343.194406158,0.27981666349304096,-0.28630116894046626,2008.7728772440444,8113476.060135726,0.003,1.4431555916190237e-09,1.591706044702539e-07
